,3110035E14Rik_class,Aldoc_class,Cck_class,Cplx2_class,Enc1_class,Gad1_class,Id2_class,Ndnf_class,Neurod6_class,Npy2r_class,Pcp4_class,Pde1a_class,Plp1_class,Prkca_class,Pvalb_class,Reln_class,Rgs4_class,Sst_class,Wfs1_class,Zero
Cdh13,0.0,0.017142493772476054,0.001528484387903001,0.015154571419395987,0.04072584222109023,0.056896720253645165,0.0,0.14439402495136627,0.035029659245070795,0.26138646265021054,0.0,0.0,0.008599272158120192,0.026195961708628753,0.5308807882831041,0.055127470109157264,0.012422770585834849,0.7884941789858697,0.01871641224345539,0.01701924773798962
Chodl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020653931865951174,0.0,0.0,0.0,0.0,0.01676799726386429,3.9089176431799256e-05
Chrm2,0.0,0.003371419368372187,0.0,0.0009304467702960251,0.0,0.0,0.03585743080723762,0.0,4.599553562703471e-05,0.32537345886530483,0.0034829370648843203,0.0,0.0009152561246589866,0.0022072908760558123,0.17911070746854302,0.09479846907772276,0.04341944303394202,0.10101326862057283,0.0,0.0014493152890311305
Cnr1,1.1257664426327674,0.03780582717395871,2.8475046890304556,0.12612276140195597,0.051778402887346205,0.6943601756292311,0.12151316849535444,2.7803333749056818,0.24098932115852895,0.06425999424141428,0.9096529196329755,0.2960526320911442,0.021190082822137798,0.16794208894279633,0.05456364426259046,0.7286981012197186,0.20863993690714078,0.12515586027619943,0.07046131648046622,0.02585708050658662
Col25a1,0.000813453824355166,0.027903092551270783,0.7569696134657138,0.14787813296723326,0.00047289009857320717,0.0,1.6454401165600272,1.7295364034977412,0.018993804086935507,1.0762679079761002,0.0010346327360107005,0.0,0.005060246913230547,0.1299726405925033,0.9999838049308734,0.19425411447057275,0.2095164384397305,0.29797426049296966,0.03620179798980821,0.013205092723763181
Cort,0.0,0.0031578847820924504,0.0,0.0,0.0,0.0,0.07445181716322398,0.0,0.03574598766327459,0.0,0.0,0.0,0.0023661579467250007,0.009521562377542219,0.026024124439963558,0.018064999871450292,0.014067646356307558,0.0,4.9112290669067286e-05,0.0015917204146091133
Cox6a2,0.0,0.010591965749192763,0.0,0.0,0.029827153455487577,0.06561076291634775,0.06702008253949925,0.16343095861406556,0.07512664597827208,0.46518853562668017,0.0,0.28261335083018124,0.007360515697229366,0.008032677820070895,0.02710582103540036,0.020185327451709485,0.005155217463981504,0.10076478182637934,0.02208353292131563,0.003593694117371265
Cplx2,5.8059873782446365,2.648765546076061,3.7307537626756924,3.7984406696414283,3.9401378366689683,0.23058969426972498,0.8161732270543733,5.734783082551072,7.015603064300475,1.0563877576308216,19.991452597111202,9.292830142285307,0.15374130984375467,1.4294617051342695,0.7961501513282768,1.608993529014127,6.722262335716331,0.9620980439418295,1.334538397483349,0.41816469280841306
Cpne5,0.05767137584398599,0.01345795593852142,0.0,0.001570257186335245,0.04541768349039633,0.0,0.038762432897784416,0.9304679817390683,0.02860297248005201,0.008149735045786043,0.0024584583464538875,0.0,0.013407430325870728,0.09319721758419125,0.0004473542313126319,0.05217776143975243,0.027896523874653665,0.050023426921594144,0.09354167334561841,0.011743987000602286
Crh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010729495894482468,0.0,0.0,0.0,0.0,0.0,0.0
Crhbp,0.0,9.42590756002047e-06,0.05958772602999359,0.023803915511111884,0.026766333465654893,0.0,0.0,0.05118558930120207,0.0,2.179767092149921,0.0,0.0002693618964620665,0.004042104859730539,0.006245585470358949,0.821283171524908,0.0,5.79419821164625e-05,1.33761557726694,3.1455331713900444e-05,0.0024574644193670176
Cryab,0.0,0.2929664581656746,0.08895041120152891,0.02397681963661496,0.08814264808395252,0.44875839323419886,0.5538461557216325,0.05210643867760389,0.47452219638111,0.04688273141516063,0.006839247289609374,0.09379926560408122,2.0844756790274026,0.032468974647213586,0.02629401689234181,0.26861814403253803,0.12316568971290584,0.12101577059894048,0.053169982921353054,0.1296146976275791
Crym,1.2274017893407885,0.022070778113425508,0.08263578331554551,1.3538978181403905,1.2827053387009133,0.0,0.24782813139271212,0.000841722990134991,0.7726120616585854,0.005639637739725105,2.842684054372148,2.365830378229228,0.002289895193869763,0.7449613440343692,0.03460215822221044,0.0,0.5835200939887416,0.8945709995692936,0.3201744582938515,0.027274084426383027
Cux2,0.0,0.006050822303803206,0.12217001634496699,0.026585281279313526,0.0,0.0,0.15814496010787665,0.057939512539656,0.009626224614018505,0.0,0.1550693711999977,0.0,0.04654653709193119,0.006364382488443925,0.06821461642411228,0.13764596383327724,0.0002899433641541224,0.208262457560596,0.0,0.007372525481291225
